題目,答案,答對回饋,答錯回饋,提示
p5.js是什麼？,一個JavaScript函式庫,沒錯呢！它讓藝術創作和網頁互動變得簡單！,不對！,提示：它跟程式設計有關。
在p5.js中，setup()函式會執行幾次？,1,太強了吧！setup()只在程式開始時執行一次。,再想想看？,提示：這個函式用於初始設定。
哪個函式可以改變填充顏色？,fill,算你厲害！例如 fill(255, 0, 0) 就是紅色。,不是！,提示：F開頭的單字。
如何在畫布上畫一個圓形？,circle,很強嘛！circle(x, y, 直徑)。,不對啊，那是畫矩形。,提示：不是 rect()。
哪個變數儲存了滑鼠的X座標？,mouseX,不愧是我選的人！,答錯了，再想想滑鼠的英文。,提示：Mouse + 一個座標軸。
draw() 函式的作用是什麼？,連續繪製畫面,沒錯，它會一直重複執行！,不對不對，這個函式是 p5.js 的心臟。,提示：它負責動畫和互動。
如何設定畫布的背景顏色？,background,正確答案！例如 background(220)。,答錯了，想想「背景」的英文。,提示：B 開頭的單字。
畫線條要用哪個函式？,line,對的！line(x1, y1, x2, y2)。,又錯了，很簡單的單字。,提示：「線」的英文。
width 這個變數儲存了什麼？,畫布寬度,你很懂呢！,差一點，它跟尺寸有關。,提示：不是高度。
如何讓圖形沒有外框？,noStroke,很強嘛！,答錯了，想想「不要筆觸」的英文。,提示：兩個單字組合而成。
